Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,177.830002,182.880005,177.710007,182.009995,181.781448,104487900
2022-01-04,182.630005,182.940002,179.119995,179.699997,179.474228,99310400
2022-01-05,179.610001,180.169998,174.639999,174.919998,174.701813,94537600
2022-01-06,172.699997,175.300003,171.639999,172.000000,171.784470,96904000
2022-01-07,172.889999,174.139999,171.029999,172.169998,171.953888,86709100
2022-01-10,169.080002,172.500000,168.169998,172.190002,171.973923,106765600
2022-01-11,172.320007,175.179993,170.820007,175.080002,174.858856,76138300
2022-01-12,176.119995,177.179993,174.820007,175.529999,175.307953,74805200
2022-01-13,175.779999,176.619995,171.789993,172.190002,171.973923,84505800
2022-01-14,171.339996,173.779999,171.089996,173.070007,172.852325,80440700
2022-01-18,172.320007,173.410004,169.929993,169.800003,169.587189,90956700
2022-01-19,170.000000,171.080002,165.940002,166.229996,166.019424,94815000
2022-01-20,166.979996,169.679993,164.179993,164.509995,164.303436,98670700
2022-01-21,164.419998,166.330002,162.300003,162.410004,162.206284,179857700
